id,split,strategy,seed
pep_0798,train,stratified,13
pep_0033,train,stratified,13
pep_0651,train,stratified,13
pep_0209,train,stratified,13
pep_0631,train,stratified,13
pep_0469,train,stratified,13
pep_0698,train,stratified,13
pep_0460,train,stratified,13
pep_0559,train,stratified,13
pep_0668,train,stratified,13
pep_0900,train,stratified,13
pep_0234,train,stratified,13
pep_0907,train,stratified,13
pep_0647,train,stratified,13
pep_0092,train,stratified,13
pep_0852,train,stratified,13
pep_0857,train,stratified,13
pep_0007,train,stratified,13
pep_0750,train,stratified,13
pep_0882,train,stratified,13
pep_0339,train,stratified,13
pep_0049,train,stratified,13
pep_0730,train,stratified,13
pep_0540,train,stratified,13
pep_0437,train,stratified,13
pep_0508,train,stratified,13
pep_0222,train,stratified,13
pep_0420,train,stratified,13
pep_0153,train,stratified,13
pep_0893,train,stratified,13
pep_0173,train,stratified,13
pep_0018,train,stratified,13
pep_0011,train,stratified,13
pep_0056,train,stratified,13
pep_0130,train,stratified,13
pep_0038,train,stratified,13
pep_0634,train,stratified,13
pep_0253,train,stratified,13
pep_0828,train,stratified,13
pep_0073,train,stratified,13
pep_0754,train,stratified,13
pep_0919,train,stratified,13
pep_0003,train,stratified,13
pep_0299,train,stratified,13
pep_0036,train,stratified,13
pep_0622,train,stratified,13
pep_0915,train,stratified,13
pep_0839,train,stratified,13
pep_0729,train,stratified,13
pep_0078,train,stratified,13
pep_0789,train,stratified,13
pep_0652,train,stratified,13
pep_0548,train,stratified,13
pep_0014,train,stratified,13
pep_0532,train,stratified,13
pep_0128,train,stratified,13
pep_0749,train,stratified,13
pep_0898,train,stratified,13
pep_0325,train,stratified,13
pep_0282,train,stratified,13
pep_0621,train,stratified,13
pep_0710,train,stratified,13
pep_0212,train,stratified,13
pep_0434,train,stratified,13
pep_0761,train,stratified,13
pep_0263,train,stratified,13
pep_0666,train,stratified,13
pep_0095,train,stratified,13
pep_0449,train,stratified,13
pep_0362,train,stratified,13
pep_0536,train,stratified,13
pep_0349,train,stratified,13
pep_0803,train,stratified,13
pep_0017,train,stratified,13
pep_0880,train,stratified,13
pep_0859,train,stratified,13
pep_0288,train,stratified,13
pep_0481,train,stratified,13
pep_0498,train,stratified,13
pep_0483,train,stratified,13
pep_0502,train,stratified,13
pep_0570,train,stratified,13
pep_0032,train,stratified,13
pep_0578,train,stratified,13
pep_0594,train,stratified,13
pep_0249,train,stratified,13
pep_0076,train,stratified,13
pep_0782,train,stratified,13
pep_0165,train,stratified,13
pep_0117,train,stratified,13
pep_0019,train,stratified,13
pep_0158,train,stratified,13
pep_0459,train,stratified,13
pep_0767,train,stratified,13
pep_0213,train,stratified,13
pep_0886,train,stratified,13
pep_0836,train,stratified,13
pep_0887,train,stratified,13
pep_0266,train,stratified,13
pep_0456,train,stratified,13
pep_0745,train,stratified,13
pep_0065,train,stratified,13
pep_0426,train,stratified,13
pep_0203,train,stratified,13
pep_0341,train,stratified,13
pep_0901,train,stratified,13
pep_0671,train,stratified,13
pep_0068,train,stratified,13
pep_0562,train,stratified,13
pep_0016,train,stratified,13
pep_0075,train,stratified,13
pep_0400,train,stratified,13
pep_0452,train,stratified,13
pep_0193,train,stratified,13
pep_0571,train,stratified,13
pep_0701,train,stratified,13
