removed_id,representative_id,cluster_id,score
pep_0465,pep_0001,embcos:pep_0001,1.0
pep_0572,pep_0001,embcos:pep_0001,1.0
pep_0584,pep_0001,embcos:pep_0001,1.0
pep_0632,pep_0001,embcos:pep_0001,1.0
pep_0968,pep_0001,embcos:pep_0001,1.0
pep_0448,pep_0001,embcos:pep_0001,0.9988370537757874
pep_0652,pep_0001,embcos:pep_0001,0.9980849027633667
pep_0946,pep_0001,embcos:pep_0001,0.9980849027633667
pep_0845,pep_0001,embcos:pep_0001,0.9974274635314941
pep_0130,pep_0001,embcos:pep_0001,0.9966179728507996
pep_0146,pep_0001,embcos:pep_0001,0.9958099126815796
pep_0966,pep_0001,embcos:pep_0001,0.9958099126815796
pep_0777,pep_0001,embcos:pep_0001,0.991180956363678
pep_0616,pep_0001,embcos:pep_0001,0.987395703792572
pep_0197,pep_0001,embcos:pep_0001,0.9867328405380249
pep_0843,pep_0001,embcos:pep_0001,0.9866089224815369
pep_0314,pep_0001,embcos:pep_0001,0.9863615036010742
pep_0744,pep_0001,embcos:pep_0001,0.9855690598487854
pep_0704,pep_0001,embcos:pep_0001,0.9853009581565857
pep_0844,pep_0001,embcos:pep_0001,0.9852100014686584
pep_0874,pep_0001,embcos:pep_0001,0.9851703643798828
pep_0753,pep_0001,embcos:pep_0001,0.9851384162902832
pep_0008,pep_0001,embcos:pep_0001,0.9848096370697021
pep_0346,pep_0001,embcos:pep_0001,0.9848096370697021
pep_0343,pep_0001,embcos:pep_0001,0.9842714071273804
pep_0808,pep_0001,embcos:pep_0001,0.9841541051864624
pep_0681,pep_0001,embcos:pep_0001,0.9838109612464905
pep_0715,pep_0001,embcos:pep_0001,0.9837351441383362
pep_0006,pep_0001,embcos:pep_0001,0.9836422801017761
pep_0629,pep_0001,embcos:pep_0001,0.9836093187332153
pep_0700,pep_0001,embcos:pep_0001,0.9833987951278687
pep_0074,pep_0001,embcos:pep_0001,0.9833018183708191
pep_0839,pep_0001,embcos:pep_0001,0.9831771850585938
pep_0622,pep_0001,embcos:pep_0001,0.9829418659210205
pep_0364,pep_0001,embcos:pep_0001,0.9827646017074585
pep_0175,pep_0001,embcos:pep_0001,0.9827119708061218
pep_0054,pep_0001,embcos:pep_0001,0.9826599955558777
pep_0018,pep_0001,embcos:pep_0001,0.982653796672821
pep_0241,pep_0001,embcos:pep_0001,0.982653796672821
pep_0461,pep_0001,embcos:pep_0001,0.982653796672821
pep_0566,pep_0001,embcos:pep_0001,0.982653796672821
